Group,Individual_No,Sex,Reproductive_female_in_pair,Days_after_adult_emergence,Body_weight_mg
A,1,male,yes,0,NA
A,2,female,yes,0,NA
A,3,female,no,0,NA
A,4,male,no,0,NA
A,5,male,no,0,NA
A,6,male,no,0,NA
A,7,male,yes,0,NA
A,8,female,no,0,NA
A,9,female,no,0,NA
A,10,female,yes,0,NA
A,11,male,yes,0,NA
A,12,male,yes,0,NA
A,13,male,yes,0,NA
A,14,male,no,0,NA
A,15,male,yes,0,NA
A,16,female,yes,0,NA
A,17,female,yes,0,NA
A,18,female,yes,0,NA
A,19,female,no,0,NA
A,20,female,yes,0,NA
A,21,male,yes,0,NA
A,22,male,yes,0,NA
A,23,male,no,0,NA
A,24,male,no,0,NA
A,25,male,no,0,NA
A,26,female,yes,0,NA
A,27,female,yes,0,NA
A,28,female,no,0,NA
A,29,female,no,0,NA
A,30,female,no,0,NA
A,31,male,yes,0,NA
A,32,female,yes,0,NA
A,33,female,yes,0,NA
A,34,female,no,0,NA
A,35,female,no,0,NA
A,36,male,no,0,NA
A,37,male,yes,0,NA
A,38,male,no,0,NA
A,39,male,yes,0,NA
A,40,male,no,0,NA
A,41,female,yes,0,NA
A,42,female,yes,0,NA
A,43,female,no,0,NA
A,44,male,no,0,11.6
A,45,male,no,0,11.9
A,46,male,yes,0,13
A,47,male,no,0,12.2
A,48,female,no,0,16.7
A,49,female,yes,0,18.8
A,50,female,no,0,NA
A,51,male,no,0,14.7
A,52,male,no,0,13.1
A,53,male,no,0,12.5
A,54,male,no,0,13.5
A,55,male,no,0,15
A,56,female,no,0,18.4
A,57,female,no,0,19.4
A,58,female,no,0,16.5
A,59,female,no,0,17.4
A,60,female,no,0,20.5
A,61,male,no,0,13.8
A,62,male,no,0,13.6
A,63,male,no,0,15.2
A,64,male,yes,0,12.7
A,65,male,no,0,13.5
A,66,female,no,0,17.8
A,67,female,no,0,18.9
A,68,female,no,0,20.4
A,69,female,yes,0,19.5
A,70,female,no,0,20.4
A,71,male,no,0,12.5
A,72,male,no,0,13.4
A,73,male,no,0,12.4
A,74,male,yes,0,13.7
A,75,male,no,0,13.5
A,76,female,no,0,19
A,77,female,no,0,21.9
A,78,female,no,0,17.4
A,79,female,yes,0,15.1
A,80,female,no,0,16.7
B,1,male,yes,0,NA
B,2,female,yes,0,NA
B,3,male,no,0,NA
B,4,female,no,0,NA
B,5,female,no,0,NA
B,6,female,no,0,NA
B,7,female,yes,0,NA
B,8,male,no,0,NA
B,9,male,no,0,NA
B,10,female,no,0,NA
B,11,female,no,0,NA
B,12,male,no,0,12.6
B,13,male,no,0,11.7
B,14,male,yes,0,12.6
B,15,male,no,0,13.1
B,16,male,yes,0,12.1
B,17,male,yes,0,12.7
B,18,male,yes,0,13
B,19,female,no,0,18.2
B,20,female,yes,0,16
B,21,female,yes,0,17.3
B,22,female,yes,0,17.6
B,23,male,yes,0,13.1
B,24,male,no,0,12.6
B,25,male,no,0,14.4
B,26,male,yes,0,12.8
B,27,male,no,0,14
B,28,male,no,0,14
B,29,female,yes,0,17.7
B,30,female,no,0,20.7
B,31,female,no,0,18.7
B,32,female,yes,0,18.2
B,33,female,no,0,20.8
B,34,female,no,0,15.4
B,35,male,yes,0,13.5
B,36,male,yes,0,12.9
B,37,male,no,0,14.9
B,38,male,no,0,14.2
B,39,female,yes,0,14.9
B,40,female,yes,0,17.1
B,41,female,no,0,19.9
B,42,female,no,0,20
B,43,male,no,0,12.4
B,44,male,no,0,13
B,45,male,no,0,13.2
B,46,male,no,0,12.3
B,47,female,no,0,20.8
B,48,female,no,0,18.4
B,49,female,no,0,17
B,50,female,no,0,19.5
B,51,male,no,0,15
B,52,male,yes,0,14.4
B,53,male,no,0,16
B,54,female,no,0,18.6
B,55,female,yes,0,17
B,56,female,no,0,22.8
B,57,male,yes,0,15
B,58,male,no,0,11.8
B,59,male,no,0,15.3
B,60,female,yes,0,17.7
B,61,female,no,0,19.8
B,62,female,no,0,18.6
B,63,male,yes,0,12.6
B,64,male,no,0,12.5
B,65,male,no,0,13.3
B,66,female,yes,0,16
B,67,female,no,0,19.8
B,68,female,no,0,15.6
B,69,male,no,0,13.6
B,70,male,yes,0,13.3
B,71,male,no,0,14.4
B,72,female,no,0,16.9
B,73,female,yes,0,21
B,74,female,no,0,19.7
B,75,male,no,0,12.8
B,76,male,no,0,12.4
B,77,female,no,0,17.5
B,78,female,no,0,17.7
B,79,male,no,0,13.8
B,80,female,no,0,18.8
C,1,female,yes,0,NA
C,2,female,yes,0,NA
C,3,female,yes,0,NA
C,4,male,yes,0,NA
C,5,male,yes,0,NA
C,6,male,yes,0,NA
C,7,male,no,0,NA
C,8,female,no,0,NA
C,9,male,yes,0,NA
C,10,male,yes,0,NA
C,11,male,yes,0,NA
C,12,male,yes,0,NA
C,13,male,no,0,NA
C,14,male,no,0,NA
C,15,female,yes,0,NA
C,16,female,yes,0,NA
C,17,female,yes,0,NA
C,18,female,yes,0,NA
C,19,female,no,0,NA
C,20,female,no,0,NA
C,21,male,no,0,NA
C,22,female,no,0,NA
C,23,female,no,0,NA
C,24,female,yes,0,NA
C,25,female,no,0,NA
C,26,male,yes,0,NA
C,27,male,no,0,NA
C,28,male,no,0,NA
C,29,male,no,0,NA
C,30,male,no,0,NA
C,31,female,yes,0,NA
C,32,female,no,0,NA
C,33,female,no,0,NA
C,34,female,no,0,NA
C,35,female,no,0,NA
C,36,male,yes,0,NA
C,37,male,no,0,NA
C,38,male,no,0,11.2
C,39,male,no,0,12.8
C,40,male,no,0,11.8
C,41,male,no,0,10.2
C,42,female,no,0,16.1
C,43,female,no,0,15.9
C,44,female,yes,0,NA
C,45,male,yes,0,12.9
C,46,male,yes,0,12.3
C,47,male,no,0,15.5
C,48,female,yes,0,20.2
C,49,female,yes,0,22.3
C,50,female,no,0,15.3
C,51,male,no,0,12.5
C,52,male,no,0,13.6
C,53,male,yes,0,14.3
C,54,male,no,0,12.5
C,55,male,no,0,13.6
C,56,female,no,0,16
C,57,female,no,0,16.8
C,58,female,yes,0,18.6
C,59,female,no,0,17.6
C,60,female,no,0,15.8
C,61,male,no,0,14.5
C,62,male,no,0,11.8
C,63,male,no,0,12.2
C,64,male,yes,0,13
C,65,male,no,0,11.7
C,66,female,no,0,18.5
C,67,female,no,0,19
C,68,female,yes,0,19.6
C,69,female,no,0,15.3
C,70,female,no,0,17.7
C,71,male,no,0,13.7
C,72,male,no,0,12.4
C,73,male,no,0,14.1
C,74,male,no,0,11.9
C,75,male,yes,0,14.3
C,76,female,no,0,18.8
C,77,female,no,0,16.2
C,78,female,no,0,16.7
C,79,female,no,0,19.6
C,80,female,yes,0,17.7
D,1,female,no,0,NA
D,2,male,no,0,NA
D,3,male,no,0,NA
D,4,female,no,0,16.6
D,5,male,no,0,13.3
D,6,male,no,0,12.3
D,7,male,no,0,17.2
D,8,male,no,0,12.6
D,9,male,no,0,13.7
D,10,female,no,0,19.2
D,11,female,no,0,22.8
D,12,female,no,0,18.2
D,13,female,no,0,20.4
D,14,male,yes,0,13.2
D,15,male,yes,0,12.9
D,16,female,no,0,20.7
D,17,female,yes,0,18.1
D,18,female,yes,0,16.1
D,19,male,no,0,14.6
D,20,male,no,0,14.8
D,21,female,no,0,17.6
D,22,female,no,0,17.7
D,23,male,no,0,12.8
D,24,male,yes,0,12.2
D,25,male,yes,0,14.1
D,26,female,no,0,19.1
D,27,female,yes,0,18.1
D,28,female,yes,0,17.5
D,29,male,no,0,13
D,30,female,no,0,18
D,31,male,yes,0,14.9
D,32,male,no,0,13.8
D,33,female,yes,0,20.9
D,34,female,no,0,17.1
D,35,male,no,0,13.6
D,36,male,no,0,12.2
D,37,male,no,0,12.6
D,38,male,no,0,13.8
D,39,male,no,0,14.5
D,40,female,no,0,18.2
D,41,female,no,0,16.8
D,42,female,no,0,19
D,43,female,no,0,17.1
D,44,female,no,0,16.7
D,45,male,no,0,12.6
D,46,male,no,0,12.4
D,47,female,no,0,17.4
D,48,female,no,0,19.3
D,49,male,no,0,10.8
D,50,male,no,0,13.6
D,51,female,no,0,19
D,52,female,no,0,18
D,53,male,yes,0,14
D,54,male,no,0,14.5
D,55,male,no,0,14
D,56,female,yes,0,19.1
D,57,female,no,0,16.8
D,58,female,no,0,16.5
D,59,male,yes,0,14.7
D,60,male,no,0,12.8
D,61,male,no,0,13.7
D,62,female,yes,0,18.4
D,63,female,no,0,16.9
D,64,female,no,0,17.3
D,65,male,no,0,13.6
D,66,male,no,0,14.5
D,67,male,no,0,13.6
D,68,female,no,0,16.4
D,69,female,no,0,16.2
D,70,female,no,0,17.8
D,71,male,no,0,13.1
D,72,male,no,0,12.1
D,73,male,no,0,12
D,74,male,no,0,12.8
D,75,female,no,0,16
D,76,female,no,0,17.4
D,77,female,no,0,17
D,78,female,no,0,16.2
D,79,male,no,0,13.9
D,80,female,no,0,19.2
A,1,male,yes,5,NA
A,2,female,yes,5,NA
A,3,female,no,5,NA
A,4,male,no,5,NA
A,5,male,no,5,NA
A,6,male,no,5,NA
A,7,male,yes,5,NA
A,8,female,no,5,NA
A,9,female,no,5,NA
A,10,female,yes,5,NA
A,11,male,yes,5,15.5
A,12,male,yes,5,17.7
A,13,male,yes,5,15
A,14,male,no,5,16.6
A,15,male,yes,5,13.2
A,16,female,yes,5,20.6
A,17,female,yes,5,21.1
A,18,female,yes,5,21.9
A,19,female,no,5,20.6
A,20,female,yes,5,22.6
A,21,male,yes,5,15.1
A,22,male,yes,5,12.3
A,23,male,no,5,14.9
A,24,male,no,5,13.4
