Group,Individual_No,Sex,Reproductive_status_of_female,Preoviposition_period,Total_number_of_eggs
A,1,male,no,,
A,2,female,yes,16.0,23.0
A,3,female,no,,
A,4,male,no,,
A,5,male,no,,
A,6,male,no,,
A,7,male,no,,
A,8,female,no,,
A,9,female,no,,
A,10,female,yes,20.0,3.0
A,11,male,no,,
A,12,male,no,,
A,13,male,no,,
A,14,male,no,,
A,15,male,no,,
A,16,female,yes,16.0,34.0
A,17,female,yes,17.0,38.0
A,18,female,yes,14.0,73.0
A,19,female,no,,
A,20,female,yes,17.0,46.0
A,21,male,no,,
A,22,male,no,,
A,23,male,no,,
A,24,male,no,,
A,25,male,no,,
A,26,female,yes,14.0,31.0
A,27,female,yes,22.0,5.0
A,28,female,no,,
A,29,female,no,,
A,30,female,no,,
A,31,male,no,,
A,32,female,yes,16.0,13.0
A,33,female,yes,14.0,11.0
A,34,female,no,,
A,35,female,no,,
A,36,male,no,,
A,37,male,no,,
A,38,male,no,,
A,39,male,no,,
A,40,male,no,,
A,41,female,yes,9.0,165.0
A,42,female,yes,13.0,57.0
A,43,female,no,,
A,44,male,no,,
A,45,male,no,,
A,46,male,no,,
A,47,male,no,,
A,48,female,no,,
A,49,female,yes,12.0,22.0
A,50,female,no,,
A,51,male,no,,
A,52,male,no,,
A,53,male,no,,
A,54,male,no,,
A,55,male,no,,
A,56,female,no,,
A,57,female,no,,
A,58,female,no,,
A,59,female,no,,
A,60,female,no,,
A,61,male,no,,
A,62,male,no,,
A,63,male,no,,
A,64,male,no,,
A,65,male,no,,
A,66,female,no,,
A,67,female,no,,
A,68,female,no,,
A,69,female,yes,16.0,49.0
A,70,female,no,,
A,71,male,no,,
A,72,male,no,,
A,73,male,no,,
A,74,male,no,,
A,75,male,no,,
A,76,female,no,,
A,77,female,no,,
A,78,female,no,,
A,79,female,yes,23.0,4.0
A,80,female,no,,
B,1,male,no,,
B,2,female,yes,14.0,137.0
B,3,male,no,,
B,4,female,no,,
B,5,female,no,,
B,6,female,no,,
B,7,female,yes,22.0,20.0
B,8,male,no,,
B,9,male,no,,
B,10,female,no,,
B,11,female,no,,
B,12,male,no,,
B,13,male,no,,
B,14,male,no,,
B,15,male,no,,
B,16,male,no,,
B,17,male,no,,
B,18,male,no,,
B,19,female,no,,
B,20,female,yes,14.0,54.0
B,21,female,yes,16.0,22.0
B,22,female,yes,16.0,72.0
B,23,male,no,,
B,24,male,no,,
B,25,male,no,,
B,26,male,no,,
B,27,male,no,,
B,28,male,no,,
B,29,female,yes,14.0,37.0
B,30,female,no,,
B,31,female,no,,
B,32,female,yes,18.0,9.0
B,33,female,no,,
B,34,female,no,,
B,35,male,no,,
B,36,male,no,,
B,37,male,no,,
B,38,male,no,,
B,39,female,yes,14.0,94.0
B,40,female,yes,18.0,30.0
B,41,female,no,,
B,42,female,no,,
B,43,male,no,,
B,44,male,no,,
B,45,male,no,,
B,46,male,no,,
B,47,female,no,,
B,48,female,no,,
B,49,female,no,,
B,50,female,no,,
B,51,male,no,,
B,52,male,no,,
B,53,male,no,,
B,54,female,no,,
B,55,female,yes,10.0,152.0
B,56,female,no,,
B,57,male,no,,
B,58,male,no,,
B,59,male,no,,
B,60,female,yes,14.0,42.0
B,61,female,no,,
B,62,female,no,,
B,63,male,no,,
B,64,male,no,,
B,65,male,no,,
B,66,female,yes,19.0,27.0
B,67,female,no,,
B,68,female,no,,
B,69,male,no,,
B,70,male,no,,
B,71,male,no,,
B,72,female,no,,
B,73,female,yes,15.0,9.0
B,74,female,no,,
B,75,male,no,,
B,76,male,no,,
B,77,female,no,,
B,78,female,no,,
B,79,male,no,,
B,80,female,no,,
C,1,female,yes,14.0,30.0
C,2,female,yes,12.0,121.0
C,3,female,yes,12.0,157.0
C,4,male,no,,
C,5,male,no,,
C,6,male,no,,
C,7,male,no,,
C,8,female,no,,
C,9,male,no,,
C,10,male,no,,
C,11,male,no,,
C,12,male,no,,
C,13,male,no,,
C,14,male,no,,
C,15,female,yes,11.0,93.0
C,16,female,yes,11.0,66.0
C,17,female,yes,17.0,22.0
C,18,female,yes,14.0,87.0
C,19,female,no,,
C,20,female,no,,
C,21,male,no,,
C,22,female,no,,
C,23,female,no,,
C,24,female,yes,22.0,13.0
C,25,female,no,,
C,26,male,no,,
C,27,male,no,,
C,28,male,no,,
C,29,male,no,,
C,30,male,no,,
C,31,female,yes,13.0,42.0
C,32,female,no,,
C,33,female,no,,
C,34,female,no,,
C,35,female,no,,
C,36,male,no,,
C,37,male,no,,
C,38,male,no,,
C,39,male,no,,
C,40,male,no,,
C,41,male,no,,
C,42,female,no,,
C,43,female,no,,
C,44,female,yes,10.0,15.0
C,45,male,no,,
C,46,male,no,,
C,47,male,no,,
C,48,female,yes,20.0,11.0
C,49,female,yes,25.0,6.0
C,50,female,no,,
C,51,male,no,,
C,52,male,no,,
C,53,male,no,,
C,54,male,no,,
C,55,male,no,,
C,56,female,no,,
C,57,female,no,,
C,58,female,yes,24.0,21.0
C,59,female,no,,
C,60,female,no,,
C,61,male,no,,
C,62,male,no,,
C,63,male,no,,
C,64,male,no,,
C,65,male,no,,
C,66,female,no,,
C,67,female,no,,
C,68,female,yes,14.0,31.0
C,69,female,no,,
C,70,female,no,,
C,71,male,no,,
C,72,male,no,,
C,73,male,no,,
C,74,male,no,,
C,75,male,no,,
C,76,female,no,,
C,77,female,no,,
C,78,female,no,,
C,79,female,no,,
C,80,female,yes,17.0,32.0
D,1,female,no,,
D,2,male,no,,
D,3,male,no,,
D,4,female,no,,
D,5,male,no,,
D,6,male,no,,
D,7,male,no,,
D,8,male,no,,
D,9,male,no,,
D,10,female,no,,
D,11,female,no,,
D,12,female,no,,
D,13,female,no,,
D,14,male,no,,
D,15,male,no,,
D,16,female,no,,
D,17,female,yes,12.0,61.0
D,18,female,yes,16.0,12.0
D,19,male,no,,
D,20,male,no,,
D,21,female,no,,
D,22,female,no,,
D,23,male,no,,
D,24,male,no,,
D,25,male,no,,
D,26,female,no,,
D,27,female,yes,23.0,34.0
D,28,female,yes,16.0,114.0
D,29,male,no,,
D,30,female,no,,
D,31,male,no,,
D,32,male,no,,
