Group,Larval_period_days,Number_of_individuals
A,32,3
A,33,14
A,34,48
A,35,49
A,36,25
A,37,12
A,38,7
A,39,2
A,40,1
B,32,2
B,33,1
B,34,14
B,35,24
B,36,24
B,37,31
B,38,26
B,39,20
B,40,6
B,41,4
B,42,1
B,43,2
C,33,1
C,34,1
C,35,2
C,36,5
C,37,4
C,38,25
C,39,18
C,40,18
C,41,12
C,42,14
C,43,11
C,44,12
C,45,4
C,46,6
C,47,4
C,48,6
C,49,2
C,50,1
D,34,1
D,35,1
D,36,0
D,37,2
D,38,7
D,39,6
D,40,7
D,41,7
D,42,15
D,43,11
D,44,18
D,45,14
D,46,12
D,47,7
D,48,3
D,49,5
D,50,2
D,51,6
D,52,2
D,53,2
D,54,2
D,55,2
D,56,1
D,57,1
D,58,1
D,59,1
